Electrical Power Distribution or Transmission,52440,3644,335932,Noncurrent-Carrying Wiring Device Mfg.,3643,3643,474,3643,3643,3643,474,3643
Equipment Mfg.,,,,(NAICS),,,,,,,,
,,3677,334416,Power Supply Mfg. (CA),3643,3573,476,3643,3643,3643,476,3643
,,3625,335314,Relay and Industrial Control Mfg. (NAICS),3643,3643,476,3643,3643,3643,476,3643
,,3613,335313,Switchgear and Switchboard Apparatus Mfg.,3643,3643,474,3643,3643,3643,474,3643
,,,,(NAICS),,,,,,,,
Electrical Wire or Cable Mfg.,52467,"3357
3357","335921
335929","Cable Mfg.--Insulated Electrical
Wire Insulating or Covering","4470
4470","4470
4470","222
222","4470
4470","4470
4470","4470
4470","222
222","4470
4470"
FastComp.com 29 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Electrical Work--within Buildings,92478,"1731
1731","238210
238210","Electrical Wiring--within Buildings
Sewing Machines--Commercial--Electrical
Wiring Away from Shop","5190
5190","5190
5190","661
661","5190
5190","5190
5190","5190
5190","661
661","5190
5190"
,,3675,334414,Electronic Capacitor Mfg.,3179,3178,472,3179,3179,3179,472,3179
Electronic Components Mfg.,52469,3679,334419,Electronic Element Mfg. (CA),3179,3178,473,3179,3179,3179,473,3179
,,3676,334415,Electronic Resistor Mfg.,3179,3179,472,3179,3179,3179,472,3179
,,3674,334413,Semiconductor and Related Device Mfg.,3179,3179,472,3179,3179,3179,472,3179
Electronic Games Mfg.,52505,"3999
3999","339999
339999","Electronic Games Mfg.
Slot Machine Mfg.","3574
3574","3574
3574","483
483","3574
3574","3574
3574","3574
3574","483
483","3574
3574"
Electronics Store,12393,"5731
5731","443112
443112","Store: Audio or Video Parts and Accessories
Store: Household Appliance--Electrical TV,
Radio (NJ)","8010
8044","8017
8017","925
925","8010
8017","8010
8053","7998
8017","925
925","8017
8017"
Electroplating,52547,"3471
3471
3471","332813
332813
332813","Detinning
Electroplating
Metal Finishing","3372
3372
3372","3372
3372
3372","449
449
449","3372
3372
3372","3372
3372
3372","3372
3372
3372","449
449
449","3372
3372
3372"
Elevator Mfg.,52581,3534,333921,Elevator Mfg.,3042,3507,465,3507,3042,3042,465,3042
"Elevator or Escalator Inspecting, Installation,
Servicing or Repair",92593,"1796
7389
7389","238290
561790
561790","Elevator Erection or Repair
Elevator Inspecting
Elevator Service--No Repair (CA, MI)","5160
8720
8720","5160
8720
8729","675
951
951","5160
8720
5160","5160
8731
8731","5160
8731
8731","675
951
951","5160
4511
4511"
Employment Agencies,43200,Var.,561311,Employment Placement Agencies,8810,8810,953,8810,8810,8810,953,8810
,,3714,336312,Automobile Engine Mfg.,3827,3805,461,3827,3612,3827,461,3805
,,3519,333618,Engine Mfg. NOC,3612,3612,461,3612,3612,3612,461,3126
Engine or Turbine Mfg.--Not Aircraft,52619,3714,336312,Engine Mfg.--Automobile,3827,3805,461,3827,3612,3827,461,3805
,,3531,333120,Traction Engine or Power Plow Mfg.,3507,3507,461,3507,3507,3507,461,3507
,,3511,333611,Turbine and Turbine Generator Set Units Mfg.,3612,3612,461,3612,3612,3612,461,3126
,,8712,541310,Architectural Firm,8601,8601,955,8601,8601,8601,955,8601
Engineers or Architects--Consulting--Not,92663,Var.,541430,Architectural or Engineering Firm--Clerical,8603,8603,955,8603,8603,8603,955,8601
Engaged in Actual Construction,,,,,,,,,,,,
,,8711,541330,Engineering Firm,8601,8601,955,8601,8601,8601,955,8601
,,7389,541420,Industrial Design Services (NAICS),8601,8601,955,8601,8601,8601,955,8601
Engraving,52660,3479,332812,Engraving,4352,3131,281,4351,4352,4352,281,4351
Entertainment Performed on Others' Premises,43215,Var.,711190,"Entertainment Performed on Others'
Premises",Var.,Var.,Var.,Var.,Var.,Var.,Var.,Var.
"Equipment, Fixtures or Supplies--for Bars,",12467,5046,423440,"Equipment, Fixtures or Supplies--for Bars,",8018,8018,924,8018,8018,8018,924,8018
"Hotels, Offices, Restaurants or Stores--",,,,"Hotels, Offices, Restaurants or Stores--",,,,,,,,
Distributors,,,,Distributors (CGL),,,,,,,,
,,5044,423420,Office Equipment Merchant Wholesalers,8018,8018,924,8018,8018,8018,924,8018
,,,,(NAICS),,,,,,,,
Escalator or Moving Sidewalk Mfg.,52744,3534,333921,Escalator Mfg.,3042,3507,465,3507,3042,3042,465,3042
"Event, Party or Wedding Planners",44280,7299,812990,"Event, Party or Wedding Planners",8742,8742,951,8742,8742,8742,951,8742
,,1794,238910,Excavation,6217,6218,609,6217,6217,6217,609,6219
FastComp.com,,30,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Excavation,94007,"1794
1794","238910
238120","Rock Excavation
Tank Installation--Gasoline Service Stations","6217
3724","6218
3724","609
675","6217
3724","1605
3724","5508
3724","609
675","4000
3724"
Exercise or Playground Equipment Mfg.,52767,N/A,N/A,"Playground Equipment Mfg. (DE, PA)",N/A,N/A,445,N/A,N/A,N/A,445,N/A
"Exhibition or Convention Buildings--Not-For-
Profit Only",63216,6512,531120,Exhibition or Convention Buildings (Nonprofit),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Exhibition or Convention Buildings--Other Than
Not-For-Profit",63215,6512,531120,Exhibition or Convention Buildings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Exhibitions--in Buildings--No Admission Charged-
-Not-For-Profit Only",63220,6512,531120,"Exhibitions--in Buildings--No Admisssion
Charged (Nonprofit)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Exhibitions--in Buildings--No Admission Charged-
-Other Than Not-For-Profit",63219,6512,531120,"Exhibitions--in Buildings--No Admisssion
Charged",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exhibitions--in Buildings--Not-For-Profit Only,63218,"7999
7999
6512","713990
713990
531120","Dog Show--Kennel Employees
Dog Show--Operation by Owner or Lessee
Exhibitions--in Buildings (Nonprofit)","8279
9016
N/A","8831
9016
N/A","959
969
N/A","8831
9015
N/A","9728
9016
N/A","8831
9016
N/A","959
969
N/A","8831
9016
N/A"
"Exhibitions--in Buildings--Other Than Not-For-
Profit",63217,6512,531120,Exhibitions--in Buildings,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Exhibitions--Outside--in Stadiums or on,43421,Var.,713990,Exhibitions--Outside--in Stadiums or on,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Premises Having Grandstands or Bleachers Not,,,,Premises Having Grandstands or Bleachers,,,,,,,,
Erected by or for the Insured--Ushers or Other,,,,Not Erected by or for Insured--Ushers or,,,,,,,,
Attendants in Stands Not Provided by the,,,,Other Attendants in Stands Not Provided by,,,,,,,,
Insured,,,,Insured,,,,,,,,
,,7999,713990,Horse Show--Operation by Owner or Lessee,9016,9016,969,9015,9016,9016,969,9016
"Exhibitions--Outside--in Stadiums or on
Premises Having Grandstands or Bleachers Not
Erected by or for the Insured--Ushers or Other
Attendants in Stands Provided by the Insured",43422,Var.,713990,"Exhibitions--Outside--in Stadiums or on
Premises Having Grandstands or Bleachers
Not Erected by or for Insured--Ushers or
Other Attendants in Stands Provided by
Insured",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Exhibitions--Outside--No Stadiums or
Grandstands",43424,Var.,713990,"Exhibitions--Outside--No Stadiums or
Grandstands",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Explosive or Fireworks Mfg.,52876,"2892
2892","325920
325920","Blasting Agents--Preparation or Distribution
Explosives Distributors","4777
4777","8018
8018","4777
4777","8010
8010","4771
8018","4771
4771","4777
4777","4777
4777"
Express Companies,94099,4215,492110,"Mail, Parcel or Package Delivery and Courier
or Messenger Service Companies--All
Employees",7231,7219,808,7231,7219,7219,808,7219
Extracts Mfg.,52911,"2087
2087
2833","311942
311942
325411","Extract Mfg.
Licorice Extract Mfg.
Medicinal and Botanical Mfg. (NAICS)","4825
4825
4825","4611
4611
4611","104
104
104","4825
4825
4825","4628
4627
4628","4628
4628
4628","104
104
104","4611
4611
4611"
Eye Glass Lens Mfg.,52967,3851,339115,Lens Mfg.--Ground (Eyeglasses),4150,4150,487,4150,4150,4150,487,4150
Fabric Distributors,12509,5131,424310,Clippings Dealer,8103,8018,862,8018,8103,8103,862,8018
Fabric Stores,12510,5949,451130,"Sewing, Needlework, and Piece Goods
Stores (NAICS)",8008,8008,916,8008,8008,8008,916,8008
Fair Grounds--Nonoperating Season,43517,7999,711310,Fair Grounds--Nonoperating Season,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fairs--Outside (Operator's Risk Only),43518,7999,711310,Fairs--Outside (Operator's Risk Only) (CGL),9016,9016,969,9015,9016,9016,969,9016
,,761,115115,"Brush or Weed Control by Contractor--
Chemical",50,50,12,N/A,50,50,12,37
FastComp.com 31 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
Farm Machinery Operations--by Contractors,94225,"761
722","115115
115113","Farm Machinery Operation--by Contractor
Hay Baling","50
50","50
50","7
7","N/A
128","50
50","50
50","7
7","37
37"
Feed Mfg.,53001,2048,311119,Feed Milling,2014,2014,101,2014,2014,2014,101,2014
"Feed, Grain or Hay Dealers",12583,"5191
5153
5191","424910
424510
424910","Feed Dealer
Grain Dealer
Hay Dealer","8215
8215
8215","8215
8215
8215","924
924
924","8215
8215
8215","8215
8215
8215","8215
8215
8215","924
924
924","8215
8215
8215"
Fence Dealers,12651,5211,444190,Fence Dealers (CGL),8232,8232,855,8232,8232,8232,855,8234
Fence Erection Contractors,94276,"1799
1799","238990
238990","Fence Erection--Metal
Mobile Home Windstorm Tie-Down
Installation: by Specialist Contractor","6400
6400","6400
6400","658
818","6400
6400","6400
6400","6400
6400","658
818","6400
6400"
Fertilizer Dealers and Distributors,12683,5191,424910,Fertilizer Dealer--No Mfg.,8215,8215,924,8215,8215,8215,924,8215
Fertilizer Mfg.,53077,"2873
2875
2874","325311
325314
325312","Fertilizer Mfg.
Fertilizer Mfg., Mixing Only (NAICS)
Phosphate Works","4583
4583
4581","4665
4828
1710","573
573
573","4583
4583
4583","4583
4583
4583","4583
4583
1452","573
573
573","4583
4583
4583"
,,2679,322299,Fiber Goods Mfg.,4263,4239,255,4239,4239,4263,255,4279
,,2282,313112,Silk Thread or Yarn Mfg.,2302,2222,132,2380,2302,2302,132,2220
,,2282,313112,Silk Throwing and Weaving,2302,2222,132,2380,2303,2303,132,2220
Fiber Mfg.--Other Than Synthetic,53095,2284,313113,Thread Mfg.--Cotton,2220,2222,132,2380,2222,2302,132,2220
,,2284,313113,Thread Mfg.--Silk,2302,2222,132,2380,2302,2302,132,2220
,,2281,313111,Yarn Mfg.--Cotton,2220,2222,132,2380,2222,2302,132,2220
,,2281,313111,Yarn Mfg.--Silk,2302,2222,132,2380,2302,2302,132,2220
Fiber Mfg.--Synthetic,53096,"2824
2824
2221
2221","325222
325222
313210
313210","Feather or Flower Mfg.--Artificial
Flower or Feather Mfg.--Artificial
Rayon Mfg.
Textile Fiber Mfg.--Synthetic","2534
2534
2305
2305","2501
2501
2413
2413","457
457
581
132","2501
2501
2380
2380","2534
2534
2303
2303","2534
2534
2305
2305","457
457
581
132","2534
2534
2220
2220"
Fiberglass Mfg.,53121,3229,327212,Fiberglass Mfg.,4101,4114,227,4131,4114,4101,227,4101
Fire Departments--Other Than Volunteer,43550,"851
9224
9224","115310
922160
922160","Fire Patrol--Forest
Firefighters
First Aid or Rescue Squad--Paid--Public (NJ)","7710
7710
7710","7706
7706
7706","985
985
985","7704
7704
7704","7710
7710
7714","7710
7710
7710","985
985
985","7704
7704
7704"
Fire Departments--Volunteer,43551,"9224
9224
851","922160
922160
115310","Fire Patrol or Protective Corps--Volunteer
Firefighters--Volunteer (CA, MI, NJ, NY, PA)
Forest Fire Patrol--Volunteer","7711
7711
7711","7707
7707
7707","N/A
N/A
N/A","7704
7704
7704","7711
7711
7711","7716
7711
7711","994
994
994","7704
7704
7704"
Fire Extinguishers Mfg.,53147,3999,339999,Fire Extinguisher Mfg.,3315,3400,454,3315,3315,3315,454,3146
"Fire Extinguishers--Servicing, Refilling or Testing",94304,7389,561790,"Fire Extinguishers--Servicing, Refilling or
Testing",4635,4635,926,4825,4635,4635,926,4635
"Fire Protection Equipment Dealers and
Distributors",12707,7382,561621,"Fire Protection Equipment Dealers and
Distributors (CGL)",8010,8017,926,8010,8010,7998,926,8017
Fire Suppression Systems Mfg.,53229,3999,339999,Fire Suppression Systems Mfg.,3315,3400,454,3315,3315,3315,454,3146
FastComp.com 32 (800 ) 476-2948,,,,,,,,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
"Fire Suppression Systems--Installation,
Servicing or Repair",94381,"1711
1711","238220
238220","Automatic Sprinkler Installation
Sprinkler Installation","5188
5188","5185
5185","663
663","5188
5188","5188
5188","5188
5188","663
663","5183
5183"
Firearms Mfg.,53271,"3489
3484","332995
332994","Arms Mfg.--NOC
Arms Mfg.--Small","3548
3574","3507
3574","445
445","3548
3628","3632
3574","3200
3200","445
445","3632
3629"
Fireproofing--Structures,94404,1799,238390,Fireproofing--Structures,5213,5482,653,5213,5466,5213,653,5213
Fireworks Exhibitions--Contractor's Risk Only,43626,7999,713990,"Fireworks Exhibition--Contractor's Risk Only
(CGL)",9180,9180,4777,9015,9088,9088,4777,9016
"Fireworks Exhibitions--Sponsor's Risk Only--Not-
For-Profit Only",43629,7999,713990,"Fireworks Exhibitions--Sponsor's Risk Only
(Nonprofit)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Fireworks Exhibitions--Sponsor's Risk Only--
Other Than Not-For-Profit",43628,7999,713990,Fireworks Exhibitions--Sponsor's Risk Only,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fishing Piers,43754,N/A,N/A,Fishing Piers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Fishing Ponds or Lakes--Commercially Operated,43760,N/A,N/A,"Fishing Ponds or Lakes--Commercially
Operated",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Floor Covering Distributors,12797,5039,423390,Store: Floor Covering--Wholesale,8018,8042,921,8018,8018,8018,921,8018
"Floor Covering Installation--Not Ceramic Tile or
Stone",94569,1752,238330,"Floor Covering Installation--Resilient Flooring--
Carpet and Laminate Flooring",5478,9521,670,9521,9521,9521,670,5102
"Floor Covering Mfg.--Not Carpets, Rugs,
Ceramic or Stone Tiles",53333,"3069
3996","326192
326192","Linoleum Mfg.
Linoleum Mfg.--Burlap or Felt Base (NJ)","4493
4493","4478
4478","227
227","9501
9501","4493
4491","4491
4491","227
227","4452
4452"
Floor Covering Stores,12805,"5713
5713","442210
442210","Store: Ceramic Tile (CA)
Store: Floor Covering--Retail","8017
8017","8059
8042","922
922","8017
8017","8017
8017","8017
8017","925
922","8017
8017"
Floor Waxing,94590,7349,561720,"Janitorial Services by Contractors--No
Window Cleaning Above Ground Level",9014,9015,971,9015,9014,9030,971,9014
Florists,12841,"5193
5992","424930
453110","Flower, Nursery Stock, and Florists' Supplies
Merchant Wholesalers
Store: Florist","8001
8001","8001
8001","919
919","8001
8001","8001
8001","8001
8001","919
919","8017
8017"
,,2099,311999,Baking Powder Mfg.,6504,6504,104,6504,6504,6504,104,6504
,,2043,311230,Cereal or Bar Mfg.,2016,6504,101,2016,2014,6504,101,6504
,,2099,311999,Coconut Shredding or Drying,6504,6504,104,6504,6504,6504,104,6504
,,2095,311920,"Coffee Cleaning, Roasting or Grinding",6504,6504,104,6504,6504,6504,104,6504
,,2052,311821,Cracker Mfg.,2001,2003,105,2016,2001,2001,105,2003
,,2045,311822,Flour Mixing and Blending--No Milling,6504,6504,104,6504,6504,6504,104,6504
,,2099,311999,Food Sundries Mfg. NOC (Dry),6504,6504,104,6504,6504,6504,104,6504
,,2034,311423,Fruit Evaporating or Preserving,2112,2102,113,2111,2112,2112,113,2111
Food Products Mfg.--Dry,53374,2034,311411,Fruit or Vegetable Processing--Frozen (CA),2112,2117,113,2112,2112,2112,113,2111
,,2098,311823,Macaroni Mfg.,2002,2002,105,2016,2002,2002,105,2003
,,2087,311999,"Malted Milk Mfg. from Powdered Milk, Sugar,",6504,6504,104,6504,6504,6504,104,6504
,,,,"Malt, Cocoa",,,,,,,,
,,2068,311911,Nut Cleaning or Shelling,6504,6504,104,6504,6504,6504,104,6504
,,2099,311991,Perishable Prepared Food Mfg.,6504,6504,104,6504,6504,6504,104,6504
,,2099,311911,Popcorn Mfg.,6504,6504,107,6504,6504,6504,107,6504
,,2096,311919,Potato Chip Mfg.,6504,6504,104,6504,6504,6504,104,6504
FastComp.com,,33,,,,,(800 ) 476-2948,,,,,

ISO Description,ISO CGL,SIC,NAICS,General Description,NCCI,CA WC,DE WC,MI WC,NJ WC,NY WC,PA WC,TX WC
,,"2099
2099","311942
311999","Spice Mills
Yeast Mfg.","6504
6504","6504
6504","104
104","6504
6504","6504
6504","6504
6504","104
104","6504
6504"
Food Products Mfg.--Frozen,53375,2038,311412,Food Sundries Mfg. NOC (Frozen),6504,6504,104,6504,6504,6504,104,6504
,,2099,311999,"Food Sundries Mfg. NOC (Not Dry, in Glass",6504,6504,104,6504,6504,6504,104,6504
,,,,Container),,,,,,,,
Food Products Mfg.--Not Dry--in Glass,53376,2099,311941,Mayonnaise Mfg.,6504,6504,104,6504,6504,6504,104,6504
Containers,,,,,,,,,,,,
,,2099,311911,Peanut Butter Mfg.,6504,6504,104,6504,6504,6504,104,6504
,,2035,311421,Pickle Mfg.,2110,2111,113,2110,2110,2101,113,6504
,,2032,311999,Cannery NOC,2111,2111,113,2111,2111,2111,113,2111
,,2033,311421,Cannery NOC (Fruit or Vegetable),2111,2111,113,2111,2111,2111,113,2111
Food Products Mfg.--Not Dry--in Other Than,53377,2032,311422,Cannery NOC (Specialty Canning),2111,2111,113,2111,2111,2111,113,2111
Glass Containers,,,,,,,,,,,,
,,2099,311999,"Food Sundries Mfg. NOC (Not Dry, in Other",6504,6504,104,6504,6504,6504,104,6504
,,,,Container),,,,,,,,
,,2099,311830,Tortilla Mfg.,6504,6504,104,6504,6504,6504,104,6504
Forestry Service,43822,811,113110,Timber Tract Operations (NAICS),7720,7721,980,7720,7723,7723,980,7720
Forging Work,53403,"3462
3462
3463","332111
332111
332112","Chain Mfg.--Forged
Forging Work--Drop or Machine (Iron or Steel)
Forging Work--Drop or Machine (Nonferrous)","3110
3110
3110","3110
3110
3110","435
431
431","3110
3110
3110","3110
3110
3110","3110
3110
3110","435
431
431","3110
3110
3110"
Formal Wear or Costumes--Rented to Others,12927,7299,532220,Formal Wear and Costume Rental,8017,8017,916,8017,8017,8017,916,8017
,,3325,331513,Castings Mfg.--Metal--Lost Wax Process,3336,3339,447,3341,3339,3336,447,3132
,,3322,331511,Foundry--Ferrous (Malleable Iron),3081,3081,427,3081,3081,3081,427,3081
,,3321,331511,Foundry--Ferrous--NOC (Gray and Ductile,3081,3081,425,3081,3081,3081,425,3081
,,,,Iron),,,,,,,,
,,3325,331513,Foundry--Ferrous--NOC (Steel),3081,3081,421,3081,3081,3081,421,3081
,,3369,331528,Foundry--Nonferrous,3085,3085,447,3085,3085,3085,447,3085
Foundries,53425,3365,331524,Foundry--Nonferrous (Aluminum),3085,3085,447,3085,3085,3085,447,3085
